model,event_stage,sessions,input_preparation_ms_per_session,feature_construction_ms_per_session,model_only_ms_per_session,end_to_end_ms_per_session
LSTM,17,1000,0.0001241000136360526,0.0,0.02635330002522096,0.026477400038857013
GRU,17,1000,0.0001241000136360526,0.0,0.01955729996552691,0.01968139997916296
GRU + Attention,17,1000,0.0001241000136360526,0.0,0.02225059998454526,0.022374699998181313
XGBoost,17,1000,0.0001241000136360526,0.09736929996870458,0.005605300015304238,0.10309869999764487
LightGBM,17,1000,0.0001241000136360526,0.09736929996870458,0.009279899997636676,0.10677329997997731
LSTM,18,1000,9.410001803189516e-05,0.0,0.03384610003558919,0.033940200053621083
GRU,18,1000,9.410001803189516e-05,0.0,0.019980600045528263,0.020074700063560158
GRU + Attention,18,1000,9.410001803189516e-05,0.0,0.024505199980922043,0.02459929999895394
XGBoost,18,1000,9.410001803189516e-05,0.1036840999731794,0.005179799976758659,0.10895799996796995
LightGBM,18,1000,9.410001803189516e-05,0.1036840999731794,0.008123799983877689,0.11190199997508898
LSTM,19,1000,0.00012119999155402184,0.0,0.025192700035404414,0.025313900026958436
GRU,19,1000,0.00012119999155402184,0.0,0.02304650004953146,0.02316770004108548
GRU + Attention,19,1000,0.00012119999155402184,0.0,0.022396899992600083,0.022518099984154105
XGBoost,19,1000,0.00012119999155402184,0.11557670001639053,0.004790699982549995,0.12048859999049455
LightGBM,19,1000,0.00012119999155402184,0.11557670001639053,0.008417900011409074,0.12411580001935363
LSTM,20,1000,9.960000170394778e-05,0.0,0.023248499957844615,0.023348099959548563
GRU,20,1000,9.960000170394778e-05,0.0,0.02074539999011904,0.020844999991822988
GRU + Attention,20,1000,9.960000170394778e-05,0.0,0.02170239994302392,0.021801999944727868
XGBoost,20,1000,9.960000170394778e-05,0.12384940002812073,0.009658900031354278,0.13360790006117895
LightGBM,20,1000,9.960000170394778e-05,0.12384940002812073,0.009644000034313649,0.13359300006413832
